Probe	UNQ	Reference	Name	Description	Category	Highest Immune Level	Immune/Non-Immune Ratio
204794_at	UNQ10888	LL:1844	DUSP2	dual specificity phosphatase 2	T Cell	3495	7.68
204014_at	UNQ2625	LL:1846	DUSP4	dual specificity phosphatase 4	Multiple	3442	8.4
204015_s_at	UNQ2625	LL:1846	DUSP4	dual specificity phosphatase 4	Multiple	2528	3.69
209457_at	UNQ4009	LL:1847	DUSP5	dual specificity phosphatase 5	Multiple	8359	7.36
208893_s_at	UNQ3534	LL:1848	DUSP6	dual specificity phosphatase 6	Monocyte	4726	3.91
209932_s_at	UNQ14892	LL:1854	DUT	dUTP pyrophosphatase	Lymphocyte	6613	3.67
202971_s_at	UNQ16748	LL:8445	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	Multiple	2070	7.53
226952_at	UNQ16366	LL:85403	EAF1	ELL associated factor 1	Multiple	4974	7.9
219551_at	UNQ17022	LL:55840	EAF2	ELL associated factor 2	B Cell	7507	10.21
205419_at	UNQ8344	LL:1880	EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	Multiple	2050	5.94
219424_at	UNQ1977	LL:10148	EBI3	Epstein-Barr virus induced gene 3	Myeloid	7336	104.8
204858_s_at	UNQ816	LL:1890	ECGF1	endothelial cell growth factor 1 (platelet-derived)	Myeloid	2873	3.71
206437_at	UNQ8871	LL:8698	EDG6	"endothelial differentiation, G-protein-coupled receptor 6"	Multiple	2917	9.12
230464_at	UNQ16861	LL:53637	EDG8	"endothelial differentiation, sphingolipid G-protein-coupled receptor, 8"	Lymphocyte	12374	21.33
209572_s_at	UNQ9980	LL:8726	EED	embryonic ectoderm development	Multiple	4337	8.94
212830_at	UNQ671	LL:1955	EGFL5	"EGF-like-domain, multiple 5"	Myeloid	7560	3.98
221497_x_at	UNQ17042	LL:54583	EGLN1	egl nine homolog 1 (C. elegans)	Multiple	2302	4.95
222847_s_at	UNQ11159	LL:112399	EGLN3	egl nine homolog 3 (C. elegans)	T Cell	4346	3.78
229074_at	UNQ16628	LL:30844	EHD4	EH-domain containing 4	Dendritic Cell	6377	5.64
233660_at	UNQ16628	LL:30844	EHD4	EH-domain containing 4	Myeloid	3268	7.1
218696_at	UNQ5907	LL:9451	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	B Cell	6102	4.94
225827_at	UNQ16854	LL:27161	EIF2C2	"eukaryotic translation initiation factor 2C, 2"	Multiple	6448	9.15
205321_at	UNQ7887	LL:1968	EIF2S3	"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"	Multiple	2558	3.97
241843_at	UNQ3694	LL:1983	EIF5	eukaryotic translation initiation factor 5	Multiple	4026	5.55
201123_s_at	UNQ17119	LL:1984	EIF5A	eukaryotic translation initiation factor 5A	Multiple	4737	4.21
213757_at	UNQ14975	LL:2874	EIF5A	G protein pathway suppressor 2	Multiple	3917	4
201024_x_at	UNQ22390	LL:9669	EIF5B	eukaryotic translation initiation factor 5B	Multiple	2226	4.36
212420_at	UNQ7522	LL:1997	ELF1	E74-like factor 1 (ets domain transcription factor)	Multiple	2757	5.2
31845_at	UNQ10835	LL:2000	ELF4	E74-like factor 4 (ets domain transcription factor)	Multiple	2541	4.66
214446_at	UNQ4790	LL:22936	ELL2	"elongation factor, RNA polymerase II, 2"	B Cell	2192	5.77
235359_at	UNQ3030	AY358322	ELLP3030		Multiple	4223	8.28
224374_s_at	UNQ17734	LL:84034	EMILIN2	elastin microfibril interfacer 2	Myeloid	13549	5.04
210724_at	UNQ683	LL:30817	EMR2	"egf-like module containing, mucin-like, hormone receptor-like 2"	Myeloid	2618	22.77
207610_s_at	UNQ32420	LL:30817	EMR2	"egf-like module containing, mucin-like, hormone receptor-like 2"	Myeloid	4474	23.55
217294_s_at	UNQ3294	LL:2023	ENO1	"enolase 1, (alpha)"	Multiple	10807	3.6
207691_x_at	UNQ10867	LL:953	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	Multiple	2825	6.14
209474_s_at	UNQ10867	LL:953	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	Multiple	2223	7.29
231776_at	UNQ11823	LL:8320	EOMES	eomesodermin homolog (Xenopus laevis)	Lymphocyte	14457	22.77
238633_at	UNQ17428	LL:80314	EPC1	"enhancer of polycomb homolog 1, (Drosophila)"	Lymphocyte	4173	7.01
205767_at	UNQ5273	LL:2069	EREG	epiregulin	Monocyte	3018	27.44
235745_at	UNQ10067	LL:2081	ERN1	ER to nucleus signalling 1	B Cell	4502	5.12
222646_s_at	UNQ434	LL:30001	ERO1L	ERO1-like (S. cerevisiae)	Multiple	6391	5.07
211048_s_at	UNQ1634	LL:9601	ERP70	"protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)"	B Cell	9890	4.62
229566_at	UNQ17766	AA151535	EST		Dendritic Cell	31572	77
243993_at	UNQ16274	AA436887	EST		Lymphocyte	2276	4.06
235102_x_at	UNQ27175	AA480925	EST		Multiple	18807	17.41
242104_at	UNQ13281	AA584865	EST		B Cell	3702	8.23
228826_at	UNQ30018	AA749202	EST		Lymphocyte	5322	10.86
228828_at	UNQ30018	AA749202	EST		Lymphocyte	5214	17.38
230805_at	UNQ30018	AA749202	EST		Lymphocyte	4570	14.98
240988_x_at	UNQ17207	AA773027	EST		Multiple	6565	23.45
241632_x_at	UNQ33592	AI053473	EST		Multiple	2950	3.49
239959_x_at	UNQ17289	AI147520	EST		Multiple	5568	6.19
236198_at	UNQ17790	AI478860	EST		Multiple	4542	25.23
229711_s_at	UNQ20281	AI492435	EST		Multiple	2998	3.68
239597_at	UNQ32160	AI521958	EST		Multiple	2938	4.74
228812_at	UNQ13253	AI652899	EST		Multiple	9840	8.56
239963_at	UNQ8521	AI733255	EST		Multiple	2174	7.5
241418_at	UNQ17776	AI814373	EST		Multiple	2493	3.46
227384_s_at	UNQ28875	AI862511	EST		Lymphocyte	7372	5.46
231972_at	UNQ18474	AK091836	EST		Monocyte	6472	3.82
229429_x_at	UNQ28875	AV728539	EST		Lymphocyte	10496	4.08
229635_at	UNQ33860	AW002414	EST		Myeloid	2392	3.65
213607_x_at	UNQ30426	AW006812	EST		Myeloid	2293	5.96
236841_at	UNQ29888	AW271459	EST		Multiple	2235	5.88
243495_s_at	UNQ12691	AW444762	EST		Multiple	2834	4.89
235086_at	UNQ31257	AW956580	EST		Monocyte	3559	3.44
239287_at	UNQ16265	AW969319	EST		Multiple	5579	10.83
230917_at	UNQ16278	AW977858	EST		Multiple	3200	4.54
221979_at	UNQ8438	BC013655	EST		Multiple	2288	7.26
229041_s_at	UNQ16296	BC023625	EST		Multiple	7154	11.82
212873_at	UNQ16767	BC035564	EST		Multiple	5941	7.97
242714_at	UNQ17775	BE047591	EST		Myeloid	7046	16.58
222001_x_at	UNQ28875	BE408825	EST		Multiple	2628	4.01
235171_at	UNQ29436	BE669491	EST		Lymphocyte	2121	4.99
229334_at	UNQ31884	BE670566	EST		Dendritic Cell	6975	4.76
244042_x_at	UNQ32076	BE672195	EST		Multiple	2636	6.85
238727_at	UNQ17772	BE674265	EST		Monocyte	3254	5.01
235919_at	UNQ33831	BE886710	EST		Lymphocyte	3787	6.11
243489_at	UNQ17456	BF514098	EST		Multiple	8794	11.65
238604_at	UNQ33573	BG168485	EST		Multiple	4313	5.17
228328_at	UNQ34194	BG501320	EST		Multiple	3099	4.49
240572_s_at	UNQ17771	BG754872	EST		Multiple	10034	21.58
238790_at	UNQ17771	BG754872	EST		Multiple	3296	15.33
226936_at	UNQ17290	BI225174	EST		Lymphocyte	4914	3.56
226991_at	UNQ33762	BI481486	EST		Lymphocyte	4852	24.26
238893_at	UNQ32150	BI600621	EST		Monocyte	28207	15
222703_s_at	UNQ22531	BM009188	EST		Multiple	3537	5.36
228066_at	UNQ17582	BM561147	EST		Multiple	3647	9.47
227741_at	UNQ23760	BM562597	EST		Multiple	3001	3.9
237731_at	UNQ33689	BM675295	EST		Myeloid	2305	28.81
226556_at	UNQ33580	BM714466	EST		Dendritic Cell	12663	6.81
228442_at	UNQ33762	BM766967	EST		Lymphocyte	6346	5.49
237154_at	UNQ18921	BM929336	EST		Dendritic Cell	30390	46.05
219812_at	UNQ24835	BQ052521	EST		Lymphocyte	3317	11.44
227184_at	UNQ4705	BQ187339	EST		Myeloid	27745	7.03
222235_s_at	UNQ16295	BQ437930	EST		Multiple	2991	8.43
226876_at	UNQ33200	BQ669154	EST		Multiple	12142	7.31
225699_at	UNQ16937	BU195547	EST		Multiple	6071	5.17
217492_s_at	UNQ29480	BU537501	EST		Myeloid	4949	4.92
238013_at	UNQ29429	BU598002	EST		Multiple	2814	15.21
215906_at	UNQ18915	BU610021	EST		B Cell	2177	5.18
226970_at	UNQ22530	BU618197	EST		Multiple	2040	4.43
229934_at	UNQ16297	BU736812	EST		Myeloid	4557	11.39
224765_at	UNQ22029	BU929398	EST		Neutrophil	20644	6.09
212708_at	UNQ22029	BU929398	EST		Multiple	8679	4.3
227952_at	UNQ16319	BX089554	EST		Multiple	8083	4.97
236787_at	UNQ16271	BX097705	EST		T Cell	8526	18.14
242521_at	UNQ16306	BX119201	EST		Multiple	5013	10.78
244669_at	UNQ34346	BX355812	EST		Multiple	2228	4.41
227930_at	UNQ4725	BX440591	EST		Multiple	8402	7.4
231628_s_at	UNQ18915	BY750745	EST		B Cell	5912	6.8
213241_at	UNQ31145	CB159826	EST		Myeloid	8061	11.94
243509_at	UNQ33495	CB991027	EST		Multiple	6819	4.85
239237_at	UNQ18883	CD370572	EST		Multiple	5123	5.17
225994_at	UNQ12604	CK001235	EST		Multiple	3407	5.09
243642_x_at	UNQ17783	F03144	EST		Multiple	3888	5.89
234851_at	UNQ18915	Incyte	EST		B Cell	10195	6.41
224549_x_at	UNQ33950	Incyte	EST		Multiple	5641	3.82
234723_x_at	UNQ30808	Incyte	EST		Multiple	5554	6.1
234440_at	UNQ31203	Incyte	EST		T Cell	2924	5.18
234773_x_at	UNQ17769	Incyte	EST		Multiple	2838	6.38
234906_at	UNQ33136	Incyte	EST		Multiple	2467	3.47
232001_at	UNQ28826	T74329	EST		Lymphocyte	3058	6.51
235056_at	UNQ6981	LL:2120	ETV6	ets variant gene 6 (TEL oncogene)	Myeloid	4078	4.18
204328_at	UNQ9092	LL:11322	EVER1	epidermodysplasia verruciformis 1	Lymphocyte	3004	3.64
214958_s_at	UNQ9092	LL:11322	EVER1	epidermodysplasia verruciformis 1	Multiple	2144	6.6
227353_at	UNQ13526	LL:147138	EVER2	epidermodysplasia verruciformis 2	Lymphocyte	16913	10.57
236554_x_at	UNQ13526	LL:147138	EVER2	epidermodysplasia verruciformis 2	Lymphocyte	2336	8.49
204774_at	UNQ1478	LL:2123	EVI2A	ecotropic viral integration site 2A	Multiple	7381	5.81
211742_s_at	UNQ975	LL:2124	EVI2B	ecotropic viral integration site 2B	Multiple	10990	10.62
227232_at	UNQ3988	LL:51466	EVL	Enah/Vasp-like	Multiple	4906	3.97
214746_s_at	UNQ21550	LL:168544	EZI	likely ortholog of mouse zinc finger protein EZI	Myeloid	3071	6.2
202345_s_at	UNQ3804	LL:2171	FABP5	fatty acid binding protein 5 (psoriasis-associated)	Multiple	11859	3.61
218618_s_at	UNQ2421	LL:64778	FAD104	FAD104	Multiple	6726	5.82
222692_s_at	UNQ2421	LL:64778	FAD104	FAD104	Myeloid	5841	4.83
222693_at	UNQ2421	LL:64778	FAD104	FAD104	Multiple	3739	8.8
229865_at	UNQ2421	LL:64778	FAD104	FAD104	Multiple	3099	6.66
207186_s_at	UNQ21435	LL:2186	FALZ	fetal Alzheimer antigen	Multiple	2262	3.83
222685_at	UNQ17281	LL:54801	FAM29A	"family with sequence similarity 29, member A"	Lymphocyte	2850	4.49
238787_at	UNQ17350	LL:163486	FAM31B	hypothetical protein MGC27044	Multiple	2394	12.94
242560_at	UNQ18889	LL:2177	FANCD2	"Fanconi anemia, complementation group D2"	Lymphocyte	2627	9.73
224683_at	UNQ5949	LL:84893	FBXO18	"F-box only protein, helicase, 18"	B Cell	5206	3.72
234863_x_at	UNQ16910	LL:26271	FBXO5	F-box only protein 5	Lymphocyte	3267	11.46
231769_at	UNQ17506	LL:26270	FBXO6	F-box only protein 6	Multiple	9373	8.48
207674_at	UNQ1180	LL:2204	FCAR	"Fc fragment of IgA, receptor for"	Myeloid	2837	31.52
211734_s_at	UNQ1181	LL:2205	FCER1A	"Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide"	Multiple	3545	11.62
211395_x_at	UNQ1642	LL:2212	FCGR2A	"Fc fragment of IgG, low affinity IIa, receptor for (CD32)"	Multiple	5818	6.43
210992_x_at	UNQ1642	LL:2212	FCGR2A	"Fc fragment of IgG, low affinity IIa, receptor for (CD32)"	Myeloid	4711	10.24
203561_at	UNQ1642	LL:2213	FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	Neutrophil	13061	10.28
210889_s_at	UNQ1184	LL:2213	FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	Multiple	2004	3.68
204007_at	UNQ1641	LL:2215	FCGR3B	"Fc fragment of IgG, low affinity IIIb, receptor for (CD16)"	Neutrophil	32749	22.05
204006_s_at	UNQ1641	LL:2215	FCGR3B	"Fc fragment of IgG, low affinity IIIb, receptor for (CD16)"	Neutrophil	19106	13.95
205237_at	UNQ893	LL:2219	FCN1	ficolin (collagen/fibrinogen domain containing) 1	Myeloid	22980	23.69
243968_x_at	UNQ11831	LL:115350	FCRH1	Fc receptor-like protein 1	B Cell	6594	37.68
235982_at	UNQ11831	LL:115350	FCRH1	Fc receptor-like protein 1	B Cell	5068	29.81
221239_s_at	UNQ9236	LL:79368	FCRH2	SH2 domain containing phosphatase anchor protein 1	B Cell	2735	10.73
231093_at	UNQ6444	LL:115352	FCRH3	Fc receptor-like protein 3	Lymphocyte	13052	19.78
203646_at	UNQ11391	LL:2230	FDX1	ferredoxin 1	Multiple	2466	4.65
204767_s_at	UNQ20558	LL:2237	FEN1	flap structure-specific endonuclease 1	Lymphocyte	2647	5.63
204768_s_at	UNQ20558	LL:2237	FEN1	flap structure-specific endonuclease 1	Lymphocyte	2257	5.31
228496_s_at	UNQ15413	LL:9637	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	Myeloid	11905	4.67
227811_at	UNQ8395	LL:89846	FGD3	"FGD1 family, member 3"	Multiple	9357	6.32
227265_at	UNQ890	LL:10875	FGL2	fibrinogen-like 2	Myeloid	21298	5.48
204834_at	UNQ890	LL:10875	FGL2	fibrinogen-like 2	Myeloid	10190	8.53
208438_s_at	UNQ2214	LL:2268	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	Multiple	7394	7.54
222843_at	UNQ17147	LL:63979	FIGNL1	fidgetin-like 1	Multiple	3690	5.09
219118_at	UNQ336	LL:51303	FKBP11	"FK506 binding protein 11, 19 kDa"	B Cell	22071	6.17
222848_at	UNQ16566	LL:64105	FKSG14	leucine zipper protein FKSG14	Lymphocyte	3217	9.9
229629_at	UNQ11133	LL:84636	FKSG79	putative purinergic receptor	Lymphocyte	4803	7.45
210786_s_at	UNQ5628	LL:2313	FLI1	Friend leukemia virus integration 1	Multiple	2083	4.39
225883_at	UNQ16221	LL:89849	FLJ00012	hypothetical protein FLJ00012	Myeloid	10498	12.65
229389_at	UNQ16221	LL:89849	FLJ00012	hypothetical protein FLJ00012	Multiple	8318	11.63
242388_x_at	UNQ16221	LL:89849	FLJ00012	hypothetical protein FLJ00012	Multiple	4153	13.62
229723_at	UNQ16221	LL:89849	FLJ00012	hypothetical protein FLJ00012	Multiple	15329	13.21
234050_at	UNQ16221	LL:89849	FLJ00012	hypothetical protein FLJ00012	Multiple	3181	10.97
228258_at	UNQ16488	LL:374403	FLJ00332	FLJ00332 protein	Multiple	9994	11.42
232682_at	UNQ16715	LL:55686	FLJ10116	hypothetical protein FLJ10116	Myeloid	10241	14.95
219648_at	UNQ16715	LL:55686	FLJ10116	hypothetical protein FLJ10116	Myeloid	5610	8.19
222527_s_at	UNQ9703	LL:55696	FLJ10290	hypothetical protein FLJ10290	Multiple	2090	3.63
220945_x_at	UNQ316	LL:54682	FLJ10298	hypothetical protein FLJ10298	Neutrophil	2613	3.93
230270_at	UNQ11268	LL:55119	FLJ10330	hypothetical protein FLJ10330	Multiple	4038	5.11
241627_x_at	UNQ18428	LL:55701	FLJ10357	hypothetical protein FLJ10357	Myeloid	4136	7.13
58780_s_at	UNQ18428	LL:55701	FLJ10357	hypothetical protein FLJ10357	Myeloid	2683	3.86
220731_s_at	UNQ8868	LL:55707	FLJ10420	hypothetical protein FLJ10420	Multiple	4110	3.54
222794_x_at	UNQ11584	LL:55149	FLJ10486	hypothetical protein FLJ10486	Multiple	4429	3.53
233873_x_at	UNQ11584	LL:55149	FLJ10486	hypothetical protein FLJ10486	Multiple	3769	3.46
229676_at	UNQ11584	LL:55149	FLJ10486	hypothetical protein FLJ10486	Multiple	2835	4.2
222642_s_at	UNQ32465	LL:55161	FLJ10525	hypothetical protein FLJ10525	Multiple	3532	6.48
236620_at	UNQ11803	LL:55183	FLJ10599	hypothetical protein FLJ10599	Multiple	2356	7.99
222442_s_at	UNQ16724	LL:55207	FLJ10702	hypothetical protein FLJ10702	Myeloid	15443	9.53
212794_s_at	UNQ17571	AK001657	FLJ10795		Multiple	3880	7.68
222752_s_at	UNQ11469	LL:55248	FLJ10874	hypothetical protein FLJ10874	Myeloid	8065	4.7
233568_x_at	UNQ17326	LL:55280	FLJ10998	hypothetical protein FLJ10998	Multiple	2036	3.92
228273_at	UNQ13588	LL:55771	FLJ11029	hypothetical protein FLJ11029	T Cell	8455	10.77
222686_s_at	UNQ16243	LL:55313	FLJ11151	hypothetical protein FLJ11151	Myeloid	16775	10.55
239135_at	UNQ16243	LL:55313	FLJ11151	hypothetical protein FLJ11151	Myeloid	10705	15.29
218610_s_at	UNQ16243	LL:55313	FLJ11151	hypothetical protein FLJ11151	Myeloid	2761	22.09
239893_at	UNQ13600	LL:55784	FLJ11175	hypothetical protein FLJ11175	Multiple	4419	5.49
226853_at	UNQ11687	AK021725	FLJ11663		Myeloid	3699	3.54
213872_at	UNQ17434	LL:81688	FLJ12619	chromosome 6 open reading frame 62	Multiple	8608	4.93
228774_at	UNQ17573	LL:84131	FLJ12643	hypothetical protein FLJ12643	Lymphocyte	3760	4.3
222458_s_at	UNQ17400	LL:79647	FLJ12666	hypothetical protein FLJ12666	Multiple	7843	7.69
222459_at	UNQ17400	LL:79647	FLJ12666	hypothetical protein FLJ12666	Multiple	4912	4.39
217893_s_at	UNQ17400	LL:79647	FLJ12666	hypothetical protein FLJ12666	Multiple	2432	6.95
208114_s_at	UNQ17435	LL:81875	FLJ12671	hypothetical protein FLJ12671	Multiple	2139	3.85
216153_x_at	UNQ16275	AK022897	FLJ12835		Multiple	19048	4.77
206438_x_at	UNQ9575	LL:79867	FLJ12975	hypothetical protein FLJ12975	Multiple	5398	4.44
222630_at	UNQ17708	LL:64864	FLJ12994	hypothetical protein FLJ12994	Lymphocyte	5091	3.9
208918_s_at	UNQ16758	LL:65220	FLJ13052	NAD kinase	Myeloid	6704	8.59
208919_s_at	UNQ16758	LL:65220	FLJ13052	NAD kinase	Myeloid	6277	4.98
222464_s_at	UNQ12155	LL:79892	FLJ13081	hypothetical protein FLJ13081	Multiple	4989	4.28
225888_at	UNQ11156	LL:80018	FLJ13089	hypothetical protein FLJ13089	Dendritic Cell	6808	6.27
227245_at	UNQ11156	LL:80018	FLJ13089	hypothetical protein FLJ13089	Dendritic Cell	4818	15.06
222395_s_at	UNQ17395	LL:65264	FLJ13855	hypothetical protein FLJ13855	Multiple	22973	7.61
218109_s_at	UNQ11240	LL:64747	FLJ14153	hypothetical protein FLJ14153	Myeloid	7710	3.43
222850_s_at	UNQ9427	LL:79982	FLJ14281	hypothetical protein FLJ14281	Multiple	4335	7.11
235158_at	UNQ12575	LL:84928	FLJ14803	hypothetical protein FLJ14803	Multiple	2226	3.51
224321_at	UNQ22239	LL:344905	FLJ16025	FLJ16025 protein	Multiple	10576	9.84
228531_at	UNQ22360	LL:54809	FLJ20073	FLJ20073 protein	Multiple	5067	4.71
226811_at	UNQ11004	LL:54855	FLJ20202	FLJ20202 protein	B Cell	16898	6.21
220306_at	UNQ11004	LL:54855	FLJ20202	FLJ20202 protein	B Cell	5857	13.02
224632_at	UNQ21953	LL:54865	FLJ20249	hypothetical protein FLJ20249	Lymphocyte	4975	5.16
224634_at	UNQ21953	LL:54865	FLJ20249	hypothetical protein FLJ20249	T Cell	4140	3.39
236592_at	UNQ11615	LL:54502	FLJ20273	RNA-binding protein	Monocyte	3523	3.79
227889_at	UNQ17691	LL:54947	FLJ20481	hypothetical protein FLJ20481	Myeloid	6957	6.63
239598_s_at	UNQ17691	LL:54947	FLJ20481	hypothetical protein FLJ20481	Myeloid	4326	7.15
222833_at	UNQ17691	LL:54947	FLJ20481	hypothetical protein FLJ20481	Myeloid	2491	9.77
218802_at	UNQ11985	LL:55013	FLJ20647	hypothetical protein FLJ20647	Multiple	3549	5.92
229383_at	UNQ11740	LL:55016	FLJ20668	hypothetical protein FLJ20668	Multiple	6928	9.9
235385_at	UNQ11740	LL:55016	FLJ20668	hypothetical protein FLJ20668	Multiple	6299	18.53
226867_at	UNQ16252	LL:55667	FLJ20686	chromosome 9 open reading frame 55	Myeloid	14000	3.92
227152_at	UNQ17088	LL:55019	FLJ20696	hypothetical protein FLJ20696	Multiple	11741	10.87
219093_at	UNQ16785	LL:55022	FLJ20701	hypothetical protein FLJ20701	Monocyte	3298	3.4
214693_x_at	UNQ30315	LL:55672	FLJ20719		Multiple	8381	9.92
215434_x_at	UNQ30315	LL:55672	FLJ20719		Multiple	2535	3.47
219053_s_at	UNQ16784	LL:55048	FLJ20847	hypothetical protein FLJ20847	Myeloid	3512	3.7
219033_at	UNQ17149	LL:79668	FLJ21308	hypothetical protein FLJ21308	Multiple	2595	5.9
244008_at	UNQ17149	LL:79668	FLJ21308	hypothetical protein FLJ21308	Multiple	4082	3.96
228677_s_at	UNQ11901	LL:64926	FLJ21438	hypothetical protein FLJ21438	Lymphocyte	6831	6.3
229982_at	UNQ12745	LL:79832	FLJ21924	hypothetical protein FLJ21924	Multiple	5232	4.31
222751_at	UNQ8772	LL:64224	FLJ22313	hypothetical protein FLJ22313	Multiple	5944	3.96
222644_s_at	UNQ2925	LL:79709	FLJ22329	hypothetical protein FLJ22329	Myeloid	2947	4.12
230313_at	UNQ13749	LL:7084	FLJ22368	"thymidine kinase 2, mitochondrial"	Myeloid	2732	4.11
221081_s_at	UNQ16793	LL:79961	FLJ22457	hypothetical protein FLJ22457	Lymphocyte	3364	5.56
222745_s_at	UNQ4759	LL:79768	FLJ22557	hypothetical protein FLJ22557	Multiple	4387	4.55
219690_at	UNQ11632	LL:79713	FLJ22573	hypothetical protein FLJ22573	Multiple	3069	6.53
220495_s_at	UNQ335	LL:79770	FLJ22625	hypothetical protein FLJ22625	B Cell	10641	6.71
222753_s_at	UNQ1841	LL:60559	FLJ22649	hypothetical protein FLJ22649 similar to signal peptidase SPC22/23	Multiple	23565	10.07
218454_at	UNQ16709	LL:79887	FLJ22662	hypothetical protein FLJ22662	Myeloid	11396	4.79
222872_x_at	UNQ16524	LL:64859	FLJ22833	hypothetical protein FLJ22833	Multiple	10112	7.52
233085_s_at	UNQ16524	LL:64859	FLJ22833	hypothetical protein FLJ22833	Multiple	4917	7.74
227970_at	UNQ8564	AK026883	FLJ23230		Dendritic Cell	18721	11.01
241844_x_at	UNQ16924	LL:80008	FLJ23235	hypothetical protein FLJ23235	B Cell	2368	23.68
212582_at	UNQ19037	LL:79738	FLJ23560	hypothetical protein FLJ23560	Multiple	9107	4.65
212585_at	UNQ19037	LL:79738	FLJ23560	hypothetical protein FLJ23560	Multiple	3833	4.48
235417_at	UNQ22709	LL:90853	FLJ25348	hypothetical protein FLJ25348	Myeloid	2297	9.99
228152_s_at	UNQ22799	LL:91351	FLJ31033	hypothetical protein FLJ31033	Myeloid	4612	5.1
227295_at	UNQ18246	LL:121457	FLJ31051	hypothetical protein FLJ31051	Multiple	3007	5.05
224574_at	UNQ12738	AK055800	FLJ31238		Multiple	5803	3.53
234464_s_at	UNQ17586	LL:146956	FLJ31364	essential meiotic endonuclease 1	B Cell	6415	5.17
225848_at	UNQ18206	LL:155061	FLJ31413	hypothetical protein FLJ31413	Myeloid	5203	4.47
32069_at	UNQ14711	LL:146268	FLJ31821	hypothetical protein FLJ31821	Multiple	3581	9.42
229770_at	UNQ4744	LL:144423	FLJ31978	hypothetical protein FLJ31978	Myeloid	12243	10.29
238063_at	UNQ12529	LL:201799	FLJ32028	hypothetical protein FLJ32028	Myeloid	15035	37.59
235291_s_at	UNQ16273	AK056817	FLJ32255		Lymphocyte	3364	5.3
226074_at	UNQ18521	LL:132160	FLJ32332	likely ortholog of mouse protein phosphatase 2C eta	Multiple	7689	4.73
238346_s_at	UNQ18741	LL:137695	FLJ32370	hypothetical protein FLJ32370	Multiple	2974	4.84
230976_at	UNQ18420	LL:158067	FLJ32704	hypothetical protein FLJ32704	Myeloid	5815	11.87
238429_at	UNQ16034	LL:137835	FLJ33069	hypothetical protein FLJ33069	Multiple	11699	13.84
235009_at	UNQ18178	LL:259282	FLJ33215	hypothetical protein FLJ33215	Multiple	6767	17.58
228557_at	UNQ18488	LL:91133	FLJ35936	hypothetical protein FLJ35936	Dendritic Cell	3497	5.22
229872_s_at	UNQ8201	AK094156	FLJ36837		Lymphocyte	11616	3.77
227383_at	UNQ8201	AK094156	FLJ36837		Lymphocyte	8866	6.64
225468_at	UNQ4605	LL:219988	FLJ36874	hypothetical protein FLJ36874	Multiple	5012	3.74
230011_at	UNQ16242	AK094461	FLJ37142		Multiple	8789	7.88
223663_at	UNQ17448	LL:283234	FLJ37970	hypothetical protein FLJ37970	Multiple	2907	3.55
242617_at	UNQ17798	AK095650	FLJ38331		Multiple	2911	4.19
225761_at	UNQ18848	LL:167153	FLJ38499	hypothetical protein FLJ38499	Multiple	6205	4.83
238706_at	UNQ18848	LL:167153	FLJ38499	hypothetical protein FLJ38499	Multiple	2074	3.4
228937_at	UNQ16244	LL:144811	FLJ38725	hypothetical protein FLJ38725	Myeloid	6300	7.92
231866_at	UNQ5360	LL:285603	FLJ39485	hypothetical protein FLJ39485	Multiple	7612	7.46
230405_at	UNQ18526	AK096941	FLJ39622		Multiple	5395	5.59
232615_at	UNQ17787	AK097058	FLJ39739		Lymphocyte	7652	4.3
240070_at	UNQ12453	LL:201633	FLJ39873	hypothetical protein FLJ39873	Lymphocyte	5122	10.67
226603_at	UNQ16277	LL:219285	FLJ39885	hypothetical protein FLJ39885	Multiple	22154	9.31
235643_at	UNQ16277	LL:219285	FLJ39885	hypothetical protein FLJ39885	Multiple	8062	36.65
230036_at	UNQ16277	LL:219285	FLJ39885	hypothetical protein FLJ39885	Multiple	7481	3.82
243271_at	UNQ16277	LL:219285	FLJ39885	hypothetical protein FLJ39885	Multiple	5478	7.72
227280_s_at	UNQ18203	LL:151195	FLJ40432	hypothetical protein FLJ40432	Myeloid	5226	7.06
228810_at	UNQ18203	LL:151195	FLJ40432	hypothetical protein FLJ40432	Myeloid	2737	5.31
226215_s_at	UNQ15077	AK097933	FLJ40614		Dendritic Cell	17457	8.12
229764_at	UNQ17768	LL:285386	FLJ41238	FLJ41238 protein	Multiple	3701	5.92
229721_x_at	UNQ21685	LL:91319	FLJ43842	FLJ43842 protein	B Cell	21828	8.68
36564_at	UNQ9301	LL:127544	FLJ90005	hypothetical protein FLJ90005	Myeloid	3511	3.66
